"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"BGSF","BG Staffing Inc","12.819","$94.6M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf"
"BPMX","BioPharmX Corporation","1.59","$33.53M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bpmx"
"BTX","BioTime, Inc.","2.19","$207.82M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx"
"BTX.WS","BioTime, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btx.ws"
"BGI","Birks Group Inc.","0.2678","$4.81M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi"
"BZM","BlackRock Maryland Municipal Bond Trust","15.25","$31.67M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm"
"MHE","BlackRock Massachusetts Tax-Exempt Trust","14.05","$33.24M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe"
"BLE","BlackRock Municipal Income Trust II","15.53","$364.5M","2002","n/a","n/a","http://www.nasdaq.com/symbol/ble"
"BLJ","Blackrock New Jersey Municipal Bond Trust","15.81","$36.76M","2002","n/a","n/a","http://www.nasdaq.com/symbol/blj"
"BFY","BlackRock New York Municipal Income Trust II","15.6","$77.98M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bfy"
"BHV","BlackRock Virginia Municipal Bond Trust","19.5","$31.08M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bhv"
"BDR","Blonder Tongue Laboratories, Inc.","0.42","$2.75M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr"
"BRG","Bluerock Residential Growth REIT, Inc.","9.88","$193.21M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg"
"BRG^A","Bluerock Residential Growth REIT, Inc.","25.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^a"
"BVX","Bovie Medical Corporation","2.02","$54.93M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx"
"BWL.A","Bowl America, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bwl.a"
"BTI","British American Tobacco p.l.c.","108.31","$100.96B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti"
"CANF","Can-Fite Biopharma Ltd","2.1683","$23.11M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/canf"
"ROX","Castle Brands, Inc.","1.01","$161.63M","2006","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/rox"
"CAW","CCA Industries, Inc.","3.4","$23.82M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw"
"CVM","Cel-Sci Corporation","0.4611","$59.93M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm"
"CVM.WS","Cel-Sci Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cvm.ws"
"CEF","Central Fund of Canada Limited","11.47","$2.92B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cef"
"CET","Central Securities Corporation","17.55","$426.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cet"
"LEU","Centrus Energy Corp.","1.44","$12.96M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/leu"
"CCF","Chase Corporation","50.27","$464.02M","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ccf"
"CQH","Cheniere Energy Partners LP Holdings, LLC","13.9","$3.22B","2013","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqh"
"CQP","Cheniere Energy Partners, LP","21.87","$7.39B","2007","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqp"
"LNG","Cheniere Energy, Inc.","25.03","$5.91B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng"
"CVR","Chicago Rivet & Machine Co.","24.225","$23.4M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr"
"CNR","China Metro-Rural Holdings Limited","0.88","$64.72M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr"
"CPHI","China Pharma Holdings, Inc.","0.1384","$6.03M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi"
"CKX","CKX Lands, Inc.","9.75","$18.94M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx"
"GLV","Clough Global Allocation Fund","11.35","$117.96M","2004","n/a","n/a","http://www.nasdaq.com/symbol/glv"
"GLQ","Clough Global Equity Fund","10.62","$187.48M","2005","n/a","n/a","http://www.nasdaq.com/symbol/glq"
"GLO","Clough Global Opportunities Fund","9.25","$477.06M","2006","n/a","n/a","http://www.nasdaq.com/symbol/glo"
"MOC","Command Security Corporation","2.48","$24.29M","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc"
"CIX","CompX International Inc.","10.49","$130.19M","1998","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix"
"LODE","Comstock Mining, Inc.","0.4935","$74.99M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode"
"CTO","Consolidated-Tomoka Land Co.","44.5","$264.53M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto"
"MCF","Contango Oil & Gas Company","6.16","$119.52M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf"
"CUO","Continental Materials Corporation","11.9","$19.78M","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo"
"CMT","Core Molding Technologies Inc","10.6","$81.74M","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/cmt"
"CVRS","Corindus Vascular Robotics, Inc.","1.9","$225.28M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cvrs"
"CRMD","CorMedix Inc","1.6","$56.6M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd"
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","14.44","$66.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crf"
"CLM","Cornerstone Strategic Value Fund, Inc.","13.78","$290.22M","1987","n/a","n/a","http://www.nasdaq.com/symbol/clm"
"CVU","CPI Aerostructures, Inc.","8.68","$74.45M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu"
"CIK","Credit Suisse Asset Management Income Fund, Inc.","2.6601","$139.01M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cik"
"DHY","Credit Suisse High Yield Bond Fund","2.04","$203.81M","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhy"
"CRHM","CRH Medical Corporation","2.57","$183M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crhm"
"CRVP","Crystal Rock Holdings, Inc.","0.9201","$19.65M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/crvp"
"CVSL","CVSL Inc.","0.94","$32.31M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cvsl"
"DAKP","Dakota Plains Holdings, Inc.","0.16","$8.81M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/dakp"
"DXR","Daxor Corporation","7.797","$30.13M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr"
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","14.73","$71.25M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vcf"
"VFL","Delaware Investments Florida Insured Municipal Income Fund","13.62","$61.68M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vfl"
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","13.99","$160.95M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vmm"
"DLA","Delta Apparel, Inc.","12.43","$96.3M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dla"
"DNN","Denison Mine Corp","0.4521","$234.39M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn"
"DGSE","DGSE Companies, Inc.","0.4201","$5.17M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse"
"DPW","Digital Power Corporation","0.49","$3.32M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw"
"DSS","Document Security Systems, Inc.","0.16","$8.28M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/dss"
"DMF","Dreyfus Municipal Income, Inc.","9.54","$197.7M","1988","n/a","n/a","http://www.nasdaq.com/symbol/dmf"
"DXI","DXI Energy Inc.","0.19","$6.94M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dxi"
"GRF","Eagle Capital Growth Fund, Inc.","7.2473","$22.65M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf"
"ESTE","Earthstone Energy, Inc.","11.75","$162.56M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este"
"EVM","Eaton Vance California Municipal Bond Fund","12.8","$273.81M","2002","n/a","n/a","http://www.nasdaq.com/symbol/evm"
"EIA","Eaton Vance California Municipal Bond Fund II","13.03","$50.63M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eia"
"CEV","Eaton Vance California Municipal Income Trust","13.73","$99.61M","1999","n/a","n/a","http://www.nasdaq.com/symbol/cev"
"EVV","Eaton Vance Limited Duration Income Fund","12.23","$1.42B","2003","n/a","n/a","http://www.nasdaq.com/symbol/evv"
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","14.96","$26.46M","2002","n/a","n/a","http://www.nasdaq.com/symbol/mab"
"MMV","Eaton Vance Massachusetts Municipal Income Trust","14.4","$39.41M","1999","n/a","n/a","http://www.nasdaq.com/symbol/mmv"
"MIW","Eaton Vance Michigan Municipal Bond Fund","14.49","$21.74M","2002","n/a","n/a","http://www.nasdaq.com/symbol/miw"
"EMI","Eaton Vance Michigan Municipal Income Trust","13.41","$26.99M","1999","n/a","n/a","http://www.nasdaq.com/symbol/emi"
"EIM","Eaton Vance Municipal Bond Fund","13.19","$899.14M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eim"
"EIV","Eaton Vance Municipal Bond Fund II","13.43","$134.48M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eiv"
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","14.032","$36.19M","2002","n/a","n/a","http://www.nasdaq.com/symbol/emj"
"EVJ","Eaton Vance New Jersey Municipal Income Trust","12.7","$58.4M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evj"
"ENX","Eaton Vance New York Municipal Bond Fund","13.19","$206.54M","2002","n/a","n/a","http://www.nasdaq.com/symbol/enx"
"NYH","Eaton Vance New York Municipal Bond Fund II","12.7899","$32.69M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nyh"
"EVY","Eaton Vance New York Municipal Income Trust","14.02","$76.76M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evy"
"EIO","Eaton Vance Ohio Municipal Bond Fund","14.2013","$36.03M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eio"
"EVO","Eaton Vance Ohio Municipal Income Trust","14.465","$41.33M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evo"
"EIP","Eaton Vance Pennsylvania Municipal Bond Fund","13.5","$39.96M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eip"
"EVP","Eaton Vance Pennsylvania Municipal Income Trust","12.46","$32.41M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evp"
"ELMD","Electromed, Inc.","1.65","$13.47M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/elmd"
"ETAK","Elephant Talk Communications Corp.","0.2199","$35.54M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/etak"
"ELLO","Ellomay Capital Ltd.","7.7","$82.51M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ello"
"ECF","Ellsworth Growth and Income Fund Ltd.","7.19","$92.02M","1986","n/a","n/a","http://www.nasdaq.com/symbol/ecf"
"EMAN","eMagin Corporation","1.91","$48.74M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman"
"EOX","Emerald Oil, Inc.","0.8001","$6.97M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eox"
"MSN","Emerson Radio Corporation","0.95","$25.77M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/msn"
"UUUU","Energy Fuels Inc","2.16","$100.53M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/uuuu"
"ENRJ","EnerJex Resources, Inc.","0.2","$1.68M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj"
"ENRJ^","EnerJex Resources, Inc.","1.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/enrj^"
"ENSV","ENSERVCO Corporation","0.395","$15.06M","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv"
"ESNC","EnSync, Inc.","0.325","$15.33M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/esnc"
"EGI","Entree Gold Inc","0.2057","$30.31M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi"
"EVI","EnviroStarm, Inc.","3.88","$27.29M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/evi"
"ERB","ERBA Diagnostics, Inc.","1.1","$48.49M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/erb"
"ERN","Erin Energy Corp.","2.28","$482.36M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ern"
"ESP","Espey Mfg. & Electronics Corp.","25.26","$59.34M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esp"
"EMXX","Eurasian Minerals Inc.","0.39","$28.68M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/emxx"
"EVBN","Evans Bancorp, Inc.","24.6","$104.68M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbn"
"EPM","Evolution Petroleum Corporation, Inc.","4.43","$144.73M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm"
"EPM^A","Evolution Petroleum Corporation, Inc.","22.6501","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/epm^a"
"XRA","Exeter Resource Corporation","0.46","$40.67M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/xra"
"FPP","FieldPoint Petroleum Corporation","0.37","$3.29M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp"
"FPP.WS","FieldPoint Petroleum Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fpp.ws"
"FEN","First Trust Energy Income and Growth Fund","20.25","$391.94M","2004","n/a","n/a","http://www.nasdaq.com/symbol/fen"
"BDL","Flanigan&#39;s Enterprises, Inc.","18.49","$34.37M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bdl"
"FSI","Flexible Solutions International Inc.","0.78","$10.28M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fsi"
"FTF","Franklin Limited Duration Income Trust","10.55","$283.12M","2003","n/a","n/a","http://www.nasdaq.com/symbol/ftf"
"FSP","Franklin Street Properties Corp.","9.16","$917.72M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fsp"
"FRD","Friedman Industries Inc.","4.72","$32.09M","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/frd"
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","4.73","$533.2M","2005","n/a","n/a","http://www.nasdaq.com/symbol/ggn"
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","23.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggn^b"
"EGAS","Gas Natural Inc.","8.34","$87.61M","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/egas"
"GST","Gastar Exploration Inc.","1.01","$80.95M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst"
"GST^A","Gastar Exploration Inc.","7.45","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gst^a"
"GST^B","Gastar Exploration Inc.","8.325","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gst^b"
"JOB","General Employment Enterprises, Inc.","3.97","$36.75M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/job"
"GMO","General Moly, Inc","0.22","$20.01M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gmo"
"GIG","GigOptix, Inc.","3.01","$132.81M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/gig"
"GSB","GlobalSCAPE, Inc.","3.31","$70.57M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsb"
"GSAT","Globalstar, Inc.","1.14","$1.18B","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gsat"
"GLOW","Glowpoint, Inc.","0.49","$17.5M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/glow"
"GORO","Gold Resource Corporation","1.57","$85.06M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/goro"
"GSV","Gold Standard Ventures Corporation","0.7398","$124.12M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/gsv"
"AUMN","Golden Minerals Company","0.193","$10.26M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aumn"
"GSS","Golden Star Resources, Ltd","0.2361","$61.36M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gss"
"GV","Goldfield Corporation (The)","1.28","$32.58M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/gv"
"GRC","Gorman-Rupp Company (The)","23.3","$607.75M","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc"
"GTE","Gran Tierra Energy Inc.","2.11","$605.74M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gte"
"GPL","Great Panther Silver Limited","0.577","$81.77M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gpl"
"GRH","GreenHunter Resources, Inc.","0.11","$4.65M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/grh"
"GRH^C","GreenHunter Resources, Inc.","1.765","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grh^c"
"SIM","Grupo Simec, S.A. de C.V.","6.31","$1.05B","1993","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sim"
"GVP","GSE Systems, Inc.","2.08","$37.23M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gvp"
"HCHC","HC2 Holdings, Inc.","3.49","$89.32M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/hchc"
"HEB","Hemispherx BioPharma, Inc.","0.1251","$30.96M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/heb"
"HLM^","Hillman Group Capital Trust","30.7803","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hlm^"
"HMG","HMG/Courtland Properties, Inc.","10.21","$10.57M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg"
"HH","Hooper Holmes, Inc.","0.1082","$8.44M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hh"
"HUSA","Houston American Energy Corporation","0.1846","$9.63M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa"
"IBIO","iBio, Inc.","0.6103","$47.19M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ibio"
"IBO","IBO (Listing Market - NYSE Amex Network B F)","153.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibo"
"IDI","IDI, Inc.","5.19","$80.98M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/idi"
"IEC","IEC Electronics Corp.","3.43","$34.99M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec"
"IMUC","ImmunoCellular Therapeutics, Ltd.","0.2244","$20.27M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc"
"IMH","Impac Mortgage Holdings, Inc.","14.26","$147.2M","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh"
"IMO","Imperial Oil Limited","31.4","$26.61B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo"
"IOT","Income Opportunity Realty Investors, Inc.","8.04","$33.51M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iot"
"IRT","Independence Realty Trust, Inc.","6.56","$308.78M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irt"
"IGC","India Globalization Capital Inc.","0.21","$3.43M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/igc"
